artist.inverted,track,lyrics
Pink,Most Girls,"I never cared too much for love
It was all a bunch of mush
That I just did not want
Paid was the issue of the day
If my girlfriends got some game
Couldn't be more fly
Gettin' paid was everything

But I'm not every girl
And I don't need that world to validate me
'Cause Shorty got a job, Shorty got a car
And Shorty can pay her own rent
Don't wanna dance if it is not in my heart

Most girls want a man with the bling bling
Got my own thing, got the ching ching
I just want real love
Most girls want a man with the mean green
Don't wanna dance if he can't be
Everything that I dream of
A man that understands real love

Oh, oh, oh
Oh, oh, oh
Oh, oh, oh

I was a girl about the floss
It was all about the cost
How much he spent on me
Seek for a man who's got the means
To be giving you diamond rings
It's what every fly girl
Could want or even dream

But I'm not every girl
And I don't need no G to care of me
'Cause Shorty got a job, Shorty got a car
Shorty can pay her own rent
Don't wanna dance if it is not in my heart, no, no

Most girls want a man with the bling bling
Got my own thing, got the ching ching
I just want real love
Most girls want a man with the mean green
Don't wanna dance if he can't be
Everything that I dream of
A man that understands real love

Most girls want a man with the bling bling
Got my own thing, got the ching ching
I just want real love
Most girls want a man with the mean green
Don't wanna dance if he can't be
Everything that I dream of
A man that understands real love

Oh, oh, oh
Oh, oh, oh
Oh, oh, oh

But I'm not every girl
And I don't need no G to take care of me, no
'Cause Shorty got a job, Shorty got a car
And Shorty can pay her own rent
Don't wanna dance if it is not in my heart

Most girls want a man with the bling bling
Got my own thing, got the ching ching
I just want real love
Most girls want a man with the mean green
Don't wanna dance if he can't be
Everything that I dream of
A man that understands real love

Most girls want a man with the bling bling
Got my own thing, got the ching ching
I just want real love
Most girls want a man with the mean green
Don't wanna dance if he can't be
Everything that I dream of
A man that understands real love

Oh, oh, oh
Oh, oh, oh
Oh, oh, oh

I, I just want real love
Said I gotta have real love
Everything can, you be everything that I dream of"
"Mumba, Samantha",Gotta Tell You,"Yeah, yeah, yeah, yeah, yeah

Your love for me came as a waterfall
Flowing inside me like never before
Your love for me, something I didn't see
But baby, I know better now

When you walked in the room that very night
A special feeling just burst inside
There was only you, nobody else
But baby, I know better now

Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I
Didn't tell you this tonight

Yeah, yeah, yeah, yeah, yeah

And now you're back inside my house again
I'm trying deeply to explain
'Cause baby, I wanna get it on
And baby, you're the one for me

And now that I have got you all alone
After all this talking on the phone
I should be strong, there's nothing wrong
I'll tell you this is where you belong, where you belong

Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I
Didn't tell you this tonight

Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I
Didn't tell you this tonight

There was just something in your eyes
That made me realize
Now I hear voices deep inside
Telling me, telling me it's you and I

Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I
Didn't tell you this tonight

Don't wanna love you if you don't love me
Don't wanna need you when you won't need me too
Don't wanna tell you this now
But it wouldn't be right if I
Didn't tell you this tonight"
Blaque,Bring It All To Me,"There you are looking as fine as can be
In your fancy car I can see you looking at me
What you wanna do? Are you just gonna sit there and stare?
Baby talk to me, tell me what's on your mind, baby oh

Oh baby, bring it all to me
But I don't need no fancy cars or diamond rings
Oh baby, bring it all to me
Gimme your time, your love, your space, your energy

Baby, what's the deal?
Would I be too forward if I told you how I feel
That's just the way I do my thang, I'm so for real
Are you feeling my Timb's, my baggy jeans, my thug appeal
Do you like it when a man can keep it real? Oh

Oh baby, bring it all to me
But I don't need no fancy cars or diamond rings
Oh baby, bring it all to me
Gimme your time, your love, your space, your energy

Oh baby

Oh, I'll put my pride to the side
Just to tell you how good you make me feel inside
There's not a single question that we can't make this right
'Cause it's you I need every day and night

Oh ho ho baby yeah

Oh baby, bring it all to me
But I don't need no fancy cars or diamond rings
Oh baby, bring it all to me
Gimme your time, your love, your space, your energy

Oh baby, bring it all to me
But I don't need no fancy cars or diamond rings
Oh baby, bring it all to me
Gimme your time, your love, your space, your energy

Oh baby, bring it all to me
But I don't need no fancy cars or diamond rings
Oh baby, bring it all to me
Gimme your time, your love, your space, your energy
..."
"Elliott, Missy ""Misdemeanor""",Hot Boyz,"Missy 'Misdemeanor' Elliott
Miscellaneous
Hot Boyz
                (feat. Lil' Mo)
[Missy]
This is for my ghetto motherfuckers
Uh hey, are you really a hot boy?
Oh, check me

[Lil' Mo]
What's your name, cause I'm impressed
Can you treat me good, I won't settle for less
You a hot boy, a rock boy
A fun toy, tote a glock boy
Where you live, is it by yourself
Can I move wit' you, do you need some help
I cook boy, I'll give you more
I'mma fly girl, and I like those

[Missy & Lil' Mo]
Hot boyz
Baby you got what I want
See cuz y'all be drivin' Lexus jeeps
And the Benz jeeps, and the Lincoln jeeps
Nothin' cheaper, got them Platinum Visa's 

Hot boyz 
Baby you got what I want
See cuz y'all be drivin' Jaguars
And the Bentley's, and the Rolls Royce
Playin' hardballs wit' them Platinum Visa's

[Lil' Mo]
Is that your car, the SK-8
Are you riding alone, can I be your date
Come get me, gimmie, don't dis me, don't trick me
Got some friends, can they come too
Can you hook them up wit' some boyz like you
A hot boy, a rock boy, on top boy
And I like those

[Missy & Lil' Mo]
Hot boyz
Baby you got what I want
See cuz y'all be drivin' Lexus jeeps
And the Benz jeeps, and the Lincoln jeeps
Nothin' cheaper, wit' them Platinum Visa's 

Hot boyz 
Baby you got what I want
See cuz y'all be drivin' Jaguars
And the Bentley's, and the Rolls Royce
Playin' hardball wit' them Platinum Visa's

[Missy]
Yo, I'mma dig in yo' pockets
Dig in yo' wallets
Is there money unfounded
Yeah, you got my heart poundin'
You a hot boy, drive a drop boy 
With alot boy, and you tote a glock boy
Give me no reason, I know that you treatin'
These diamonds I'm needin', make you believe it
I want alot boy, with a hot boy
Got a fun toy and you tote a glock boy

[Missy & Lil' Mo']
Hot boy
Baby you got what I want
Won't you really come and satisfy me
I be lovin' you like endlessly
(Everyday all day)

Hot boy
Baby you got what I want
Won't you really come and satisfy me
I be lovin' you like endlessly
(Oh, yes I will)

[Missy]
Where the Lexus jeeps, and the Benz jeeps
And the Lincoln jeeps, and the Bentley's
And the Jaguars, and the fly cars
Where you at?

Where your Lexus jeeps, and the Benz jeeps
And the Lincoln jeeps, and the Bentley's
And the Jaguars, and the fly cars 
Where you at?

[Lil' Mo']
Yeah yeah, yeah yeah
Hot boyz, hot boyz (I'm out)
Hot boyz, I like 'em like that"
"Gray, Macy",I Try,"Games, changes and fears
When will they go from here
When will they stop
I believe that faith has brought us here
And we should be together, babe
But we're not

I play it off, but I'm dreaming of you
And I'll keep my cool, but I'm finding

I try to say goodbye and I choke
Try to walk away and I stumble
Though I try to hide it, it's clear
My world crumbles when you are not near

Goodbye and I choke
I try to walk away and I stumble
Though I try to hide it, it's clear
My world crumbles when you are not near

I may appear to be free
But I'm just a prisoner of your love
And I may seem all right and smile when you leave
But my smiles are just a front
Just a front, hey

I play it off, but I'm dreaming of you
And I'll keep my cool, but I'm finding'

I try to say goodbye and I choke
Try to walk away and I stumble
Though I try to hide it, it's clear
My world crumbles when you are not near

Goodbye and I choke
I try to walk away and I stumble
Though I try to hide it, it's clear
My world crumbles when you are not near

Here is my confession
May I be your possession
Boy, I need your touch
Your love kisses and such
With all my might I try
But this I can't deny, deny

I play it off, but I'm dreaming of you
But I'm dreaming of you babe
I'll keep my cool, but I'm finding'

I try to say goodbye and I choke
Try to walk away and I stumble
Though I try to hide, it's clear
My world crumbles when you are not there

Goodbye and I choke
I try to walk away and I stumble
Though I try to hide it, it's clear
My world crumbles when you are not near

Goodbye and I choke
I try to walk away and I stumble
Though I try to hide it, it's clear
My world crumbles when you are not near

Yeah yeah yeah
Yeah yeah"
N'Sync,This I Promise You,"N Sync
No Strings Attached
This I Promise You
Ohh ohh...

When the visions around you,
Bring tears to your eyes
And all that surround you,
Are secrets and lies
I'll be your strength,
I'll give you hope,
Keeping your faith when it's gone
The one you should call,
Was standing here all along..

And I will take
You in my arms
And hold you right where you belong
Till the day my life is through
This I promise you
This I promise you

I've loved you forever,
In lifetimes before
And I promise you never...
Will you hurt anymore
I give you my word
I give you my heart (give you my heart)
This is a battle we've won
And with this vow,
Forever has now begun...

Just close your eyes (close your eyes)
Each loving day (each loving day)
I know this feeling won't go away (no..)
Till the day my life is through
This I promise you..
This I promise you..

Over and over I fall (over and over I fall)
When I hear you call
Without you in my life baby
I just wouldn't be living at all...

And I will take (I will take you in my arms)
You in my arms
And hold you right where you belong (right where you belong)
Till the day my life is through
This I promise you baby

Just close your eyes 
Each loving day (each loving day)
I know this feeling won't go away (no..)
Every word I say is true
This I promise you

Every word I say is true
This I promise you
Ooh, I promise you..."
Ruff Endz,No More,"Ooh, yeah, oh, girl
No more, no more
Bounce baby, bounce baby
You can move, uh
Check out

Baby, relax, sit back and chill
Give me a second
And let me tell you how I feel
'Cause all around town you've been steppin' out
Runnin' your mouth about

What made you think I wouldn't find out?
Wasn't I there for you?
Truly cared for you
Maybe my love was just too good
Could've had it good
Now the love is gone
[Incomprehensible]

Does he lace you with the finer things?
Does he make ya wanna scream his name?
Does he hit it from the front to back?
Did you let him break it down like that?
Should've told me the love was gone
Never thought that you'd do me wrong
Girl, I thought that your love was strong
Till I saw you with another man

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more

I saw you on the Ave and I laughed
In the backseat piece spilling Henney in his lap
Thought it was me you was all about
But I'm having doubts
'Cause I see you tryna play me out
But when the brother called the crib with beef
Didn't I represent you?
When I caught him in the streets
So let me get the keys to Lex and then my checks
And no more hanging brigets around your neck, babe

Does he lace you with the finer things?
Does he make ya wanna scream his name?
Does he hit it from the front to back?
Did you let him break it down like that?
Should've told me the love was gone
Never thought that you'd do me wrong
Girl I thought that your love was strong
Till I saw you with another man

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more

No more, I wanna know it
Baby, I cant' even keep it

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more

No more shopping sprees
No more late night creeps
No more VIPs
No more dough
We can't even kick it no more
..."
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,"Show me the meaning of being lonely

So many words for the broken heart
It's hard to see in a crimson love
So hard to breathe walk with me, and maybe
Nights of light so soon become wild and free I could feel the sun

Your every wish will be done
They tell me

Show me the meaning of being lonely
Is this the feeling I need to walk with
Tell me why I can't be there where you are?
There's something missing in my heart

Life goes on as it never ends
Eyes of stone observe the trends
Never say forever gaze guilty roads to an endless love
There's no control are you with me now

Your every wish will be done
They tell me

Show me the meaning of being lonely
Is this the feeling I need to walk with?
Tell me why I can't be there where you are?
There's something missing in my heart

There's nowhere to run, I have no place to go
Surrender my heart, body and soul
How can it be you're asking me to feel the things you never show

You are missing in my heart
Tell me why I can't be there where you are

Show me the meaning of being lonely
Is this the feeling I need to walk with?
Tell me why I can't be there where you are?
There's something missing in my heart

Show me the meaning of being lonely
Is this the feeling I need to walk with?
Tell me why I can't be there where you are?
There's something missing in my heart"
Nine Days,Absolutely (Story Of A Girl),"This is the story of a girl
Who cried a river and drowned the whole world
And while she looked so sad in photographs
I absolutely love her when she smiles

How many days in a year?
She woke up with hope
But she only found tears
And I can be so insincere
Makin' her promises never for real

As long as she stands there waiting
Wearing the holes in the soles of her shoes
How many days disappear when you look in the mirror
So how do ya choose?

Your clothes never wear as well the next day
And your hair never falls in quite the same way
But you never seem to run out of things to say

This is the story of a girl
Who cried a river and drowned the whole world
And while she looked so sad in photographs
I absolutely love her when she smiles

And how many lovers would stay
Just to put up with this shit day after day
How did we wind up this way
Watchin' our mouths for the words that we say

As long as we stand here waiting
Wearing the clothes of the souls that we choose
How do we get there today?
When you're walking to far for the price of your shoes

Your clothes never wear as well the next day
And your hair never falls in quite the same way
But you never seem to run out of things to say

This is the story of a girl
Who cried a river and drowned the whole world
And while she looks so sad and lonely there
I absolutely love her when she smiles

Well, your clothes never wear as well the next day
And your hair never falls in quite the same way
But you never seem to run out of things to say

This is the story of a girl
Who cried a river and drowned the whole world
And while she looked so sad in photographs
I absolutely love her

This is the story of a girl
A pretty face she hid from the world
And while she looks so sad and lonely there
I absolutely love her

This is the story of a girl
Who cried a river and drowned the whole world
And while she looked so sad in photographs
I absolutely love her when she smiles
When she smiles"
"Dion, Celine",That's The Way It Is,"I can read your mind
And I know your story
I see what you're going through, yeah
It's an uphill climb
And I'm feeling sorry
But I know it will come to you, yeah
Don't surrender
'Cause you can win
In this thing called love

When you want it the most
There's no easy way out
When you're ready to go
And your heart's left in doubt
Don't give up on your faith
Love comes to those who believe it
And that's the way it is

When you question me
For a simple answer
I don't know what to say, no
But it's plain to see
If you stick together
You're gonna find the way, yeah
So don't surrender
'Cause you can win
In this thing called love

When you want it the most
There's no easy way out
When you're ready to go
And your heart's left in doubt
Don't give up on your faith
Love comes to those who believe it
And that's the way it is

That's the way it is

When life is empty
With no tomorrow
And loneliness starts to call
Baby don't worry
Forget your sorrow
'Cause love's gonna conquer it all all

When you want it the most
There's no easy way out
When you're ready to go
And your heart's left in doubt
Don't give up on your faith
Love comes to those who believe it

(And that's the way it is
When you want it the most
There's no easy way out
When you're ready to go
And your heart's left to doubt)

Don't give up on your faith
Love comes to those who believe it
And that's the way it is
That's the way it is
That's the way it is
Don't give up on your faith
Love comes to those who believe it
And that's the way it is"
Blink-182,All The Small Things,"All the small things
True care, truth brings
I'll take one lift
Your ride, best trip

Always, I know
You'll be at my show
Watching, waiting
Commiserating

Say it ain't so I will not go
Turn the lights off carry me home

Na na na
Na na na
Na na na

Late night, come home
Work sucks, I know
She left me roses by the stairs
Surprises let me know she cares

Say it ain't so I will not go
Turn the lights off carry me home

Na na na
Na na na
Na na na

Say it ain't so, I will not go
Turn the lights off carry me home

Keep your head still, I'll be your thrill
The night will go on my little windmill

Say it ain't so, I will not go
(Na na na)
Turn the lights off, carry me home
(Na na na)

Keep your head still, I'll be your thrill
(Na na na)
The night will go on, the night will go on
(Na na na)
My little windmill"
Eiffel 65,Blue (Da Ba Dee),"Eiffel 65
Europop
Blue [da Ba Dee]
yo listen up
Here's the story about a little guy that lives in a blue world
And all day and all night and everything he sees is just blue like him
Indside and outside
Blue his house with the blue little window and a blue corvette
And everything is blue for him and his-self
And everybody around cuz he ain't got nobody to listen.

I'm blue da ba dee da ba di  da ba dee da ba di da d ba dee da ba di da ba dee
Da ba di  da ba dee da ba di da (repeat once)

I have a blue house with a blue window
Blue is the color i bought that i wear
Blue are the trees and now the trees are too
I have a girlfriend and she is so blue
Blue are the people here that walk around
Blue like my corvette it's standing outside
Blue are the words are say and what i think
Blue are the feelings that live inside me.

I'm blue da ba dee da ba di  da ba dee da ba di da d ba dee da ba di da ba dee
Da ba di  da ba dee da ba di da (repeat twice)

Indside and outside
Blue his house with the blue little window and a blue corvette
And everything is blue for him and his-self
And everybody around cuz he ain't got nobody to listen.

I'm blue da ba dee da ba di  da ba dee da ba di da ba dee da ba di da ba dee da
Ba di	da ba dee da ba di da (repeat til end)"
"Badu, Erkyah",Bag Lady,
Pink,There U Go,
Creed,Higher,"When dreaming I'm guided to another world
Time and time again
At sunrise I fight to stay asleep
'Cause I don't want to leave the comfort of this place
'Cause there's a hunger, a longing to escape
From the life I live when I'm awake

So let's go there, let's make our escape
Come on let's go there, let's ask, â€½Can we stay?â€

Can you take me higher?
To the place where blind men see
Can you take me higher?
To the place with golden streets

Although I would like our world to change
It helps me to appreciate those nights and those dreams
But my friend, I'd sacrifice all those nights
If I could make the Earth and my dreams the same
The only difference is
To let love replace all our hate

So let's go there, let's make our escape
Come on let's go there, let's ask, â€½Can we stay?â€

Can you take me higher?
To the place where blind men see
Can you take me higher?
To the place with golden streets

So let's go there, let's go there
Come on let's go there, let's ask, â€½Can we stay?â€

Up high I feel like I'm
Alive for the very first time
Set up high I'm strong enough
To take these dreams and make them mine

Set up high I'm strong enough
To take these dreams and make them mine

Can you take me higher?
To the place where blind men see
Can you take me higher?
To the place with golden streets

Can you take me higher?
To a place where blind men see
Can you take me higher?
To the place with golden streets"
Nelly,(Hot S**t) Country Grammar,"Aight, yeah
(Hot shit!)
E-40
(Um I'm goin')

Let me breathe on ya man, let me speak upon a man
Let me teach you somethin' about this game
(Mmm)
Let me show you how to swing, push pedal that candy cane
On the turf where the law can't scare me
(Yeah)

Pushin' that candy, drinkin' that brandy
Livin' that turf, like me and my family
Pimp tryna make a dollar outta fifteen cent
Bustas on the corner of the block gettin' bent

Me and my folks we on one
(On one)
We don't be trippin' off that
(Nothin')
Players about to be somethin'
(Somethin')
A music and beat be somethin'
(Somethin')

Where the Louie at man, where the Louie the thirteenth
E-40 and the Lunatics off to drink
Lookin' for the chicks in hot pink
I'm so throwed I need a shrink

I'm so throw, throwin' up in the sink
Right back up with the bunnies and Henn
Gettin that hunny with the peaches and cream
Not a main thing, but a one night flang

Do my thug things, livin' off the King Pin
Household thug, for all up in my business
26 inch chrome rims spin
Don't check me, check your chick man

(Yeah, hot shit!)
Boss floss
(Boss floss)
You lose you lost
(You lose you lost)
True false
(True false)
Hoes cost
(Hoes cost)

What do I look like spendin' my yay
But man hunny better pay me paper man
Man I'm a honey mackin Hillside hustler man
The Hillside didn't raise no buster man

Mmm, you can find me, in St. Louis rollin on dubs
Smokin' on dubs in clubs, blowin' up like Cocoa Puffs
Sippin' Bud, gettin' perved and gettin' dubbed
Daps and hugs, mean mugs and shoulder shrugs

And it's all because, 'ccumulated enough scratch
Just to navigate it, wood decorated on chrome
And it's candy painted, fans fainted, while I'm entertainin'
Wild ain't it? How me and money end up hangin'

Plus I hang with Hannibal Lector
(Hot shit!)
Uh uh uh so feel me when I bring it, sing it loud
I'm from the Lou and I'm proud
Run a mile for the cause, I'm righteous above the law
Playa my style's raw, I'm ""Born to Mack"" like Todd Shaw

Forget the fame and the glamour, give me D's with a rubber hammer
My grammar be's ebonics, gin, tonic and chronic
Fuck bionic it's ironic, ""Slammin'"" niggaz like Onyx
Lunatics 'til the day I die, I run more game than the Bulls and Sonics

Hmm, I'm goin' down down baby, yo street in a Range Rover
(C'mon)
Street sweeper baby, cocked ready to let it go
(Hot shit!)
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now

I'm goin' down down baby, yo street in a Range Rover
Street sweeper baby, cocked ready to let it go
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now

Who say pretty boys can't be wild niggaz?
Loud niggaz, O.K. Corral niggaz
Foul niggaz, run in the club and bust in the crowd nigga
How nigga? Ask me again and it's goin' down nigga
Now nigga, come to the circus and watch me clown nigga

Pound niggaz, what you be givin' when I'm around nigga
Frown niggaz, talkin' shit when I leave the town nigga
Say now, can you hoes come out to play now
Hey I'm, ready to cut you up any day now

Play by, my rules Boo and you gon' stay high
May I, answer yo 'Third Question' like A.I.
Say, ""Hi"", to my niggaz left in the slammer
From St. Louis to Memphis, from Texas back up to Indiana

Chi-Town, K.C., Motown to Alabama
L.A., New York Yankee niggaz to Hotlanta
'Ouisiana, all my niggaz with country grammar
Smokin' blunts in Savannah, blow thirty mill' like I'm Hammer

Hmm, I'm goin' down down baby, yo street in a Range Rover
(C'mon)
Street sweeper baby, cocked ready to let it go
(Hot shit!)
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now

I'm goin' down down baby, yo street in a Range Rover
Street sweeper baby, cocked ready to let it go
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now

Let's show these cats how to make these millions
So you niggaz quit actin' silly, mon
'Kid' quicker than 'Billy', mon
Talkin' really and I need it mon
Flows I kick 'em freely mon, 'specially off Remi, mon
Keys to my Beemer, mon, holla at Beenie Man

See me, mon, cheifin rollin deeper than any mon
Through Jennings mon, through U-City back up to Kingsland
With nice niggaz, sheist niggaz who snatch yo life niggaz
Trife niggaz, who produce and sell the same beat twice, nigga
(Hot shit!)

Ice niggaz, all over close to never sober
From broke to havin bro-kers my price Range is Rover
Now I'm knockin like Jehovah, let me in now, let me in now
Bill Gates, Donald Trump let me in now

Spin now, I got money to lend my friends now
We in now, candy Benz, Kenwood and 10's now
I win now, woo, fuckin' lesbian twins now
Seein' now, through the pen I make my ends now

Hmm, I'm goin' down down baby, yo street in a Range Rover
(C'mon)
Street sweeper baby, cocked ready to let it go
(Hot shit!)
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now

I'm goin' down down baby, yo street in a Range Rover
Street sweeper baby, cocked ready to let it go
Shimmy shimmy cocoa what? Listen to it pound
Light it up and take a puff, pass it to me now"
Next,Wifey,"Uh, uh, uh
Uh, uh, uh

You're never try me
Always stood right by me
Make living lively
Highly spoken of
My only love
The only one, you're my wifey
Make me life complete, sweet
But you know when to flip it street
Freak but only when it comes to me
See that's why you're my wifey

This you should know
Cause you had my mind blown, oh, oh
Full of junk at the club on bump like what
I had to have you babe
Saw you outside, passenger side
Cause I let my best friend drive
You was in line
That's when you caught my eyes girl

You were so beautiful girl
It was so critical girl
You looked so crucial girl
Something about you is everything
You are mine

You're never try me
Always stood right by me
Make living lively
Highly spoken of
My only love
The only one, you're my wifey
Make me life complete, sweet
But you know when to flip it street
Freak but only when it comes to me
See that's why you're my wifey

You know you're sexy too
I like your attitude
I ain't even mad at you
Girl you're still my boo
Either braids or weave
Skirt or jeans you're still my queen
Babygirl go do your thing
I'm so glad you're on my team

You were so beautiful girl
It is so critical girl
You looked so crucial girl
Something about you is everything
You are mine

You're never try me
Always stood right by me
Make living lively
Highly spoken of
My only love
The only one, you're my wifey
Make me life complete, sweet
But you know when to flip it street
Freak but only when it comes to me
See that's why you're my wifey

Someone I can spend my life with
Leave the keys to the Benz
Wedding band with your gems
You're someone I feel all right with
Someone to have my kids
Someone I can depend

You're never try me
Always stood right by me
Make living lively
Highly spoken of
My only love
The only one, you're my wifey
Make me life complete, sweet
But you know when to flip it street
Freak but only when it comes to me
See that's why you're my wifey

Skinny designer fit real jiggy
Ain't afraid to hump with me
When we get busy
Ride out I licky-licky
Till I get dizzy
Toes done, fresh scent
I think it's sizzly
Oh someone who was down with me
Used to struggle
Now I both count the g's with me
Pop the champagne
Let's take a sippy-sippy
Describe you I try to
You're my wifey
Will you be my wifey?
(Yes I'll be your wifey)
Oh say you'll be my wifey girl
(Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)
Will you be my wifey?
(Yes I'll be your wifey)
Oh say you'll be my wifey girl
(Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)"
Kenny G,Auld Lang Syne (The Millenium Mix),
Sonique,It Feels So Good,"You always make me smile
When I'm feeling down
You give me such a vibe
It's totally bona fide

It's not the way you walk
And it ain't the way you talk
It ain't the job you got
That keeps me satisfied

1-Your love, it feels so good
And that's what takes me high
Higher than before
Your love, it keeps me alive
Thought I should let you know
That your touching means so much
When I'm alone, I'm not
It's you that always makes me laugh

Oh, oh, baby

Oooooh, to understand
How I feel, deep inside
Oh oh, you make feel
All I need to feel
Yes, in my heart
(repeat 1)

Oh, oh, baby"
"Spears, Britney",Oops!.. I Did It Again,"yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah yeah

I think I did it again
I made you believe we're more than just friends
Oh baby
It might seem like a crush
But it doesn't mean that I'm serious
'Cause to lose all my senses
That is just so typically me

Oh baby, baby
Oops!...I did it again
I played with your heart, got lost in the game
Oh baby, baby
Oops!...You think I'm in love
That I'm sent from above

I'm not that innocent
You see my problem is this
I'm dreaming away
Wishing that heroes, they truly exist
I cry, watching the days
Can't you see I'm a fool in so many ways
But to lose all my senses
That is just so typically me

Baby, oh
Oops!...I did it again
I played with your heart, got lost in the game
Oh baby, baby
Oops!...You think I'm in love
That I'm sent from above

I'm not that innocent
Yeah yeah yeah yeah yeah yeah

Yeah yeah yeah yeah yeah yeah
""All aboard""

Oops!...I did it again to your heart
Got lost in this game, oh baby
Oops!...You think that I'm sent from above
I'm not that innocent"
"Backstreet Boys, The",Shape Of My Heart,We do not have the lyrics for Shape of My Heart (In the Style of Backstreet Boys) [Karaoke Version] yet.
Everclear,Wonderful,"Hey, ain't life wonderful?
Wonderful, wonderful, wonderful, wonderful, wonderful
Isn't it wonderful?
Wonderful, wonderful, wonderful, wonderful, wonderful
Life is so wonderful
Isn't everything wonderful?
Isn't it wonderful now?

I close my eyes when I get too sad
I think thoughts that I know are bad
Close my eyes and I count to ten
Hope it's over when I open them
I want the things that I had before
Like a star wars poster on my bedroom door
I wish I could count to ten
Make everything be wonderful again

Hope my mom and I hope my dad
Will figure out why they get so mad
Hear them scream, I hear them fight
They say bad words that make me wanna cry
Close my eyes when I go to bed
And I dream of angels who make me smile
I feel better when I hear them say
Everything will be wonderful someday

Promises mean everything when you're little
And the world's so big
I just don't understand how
You can smile with all those tears in your eyes
Tell me everything is wonderful now

Please don't tell me everything is wonderful now

I go to school and I run and play
I tell the kids that it's all okay
I laugh aloud so my friends won't know
When the bell rings I just don't wanna go home
Go to my room and I close my eyes
I make believe that I have a new life
I don't believe you when you say
Everything will be wonderful someday

Promises mean everything when you're little
And the world is so big
I just don't understand how
You can smile with all those tears in your eyes
When you tell me everything is wonderful now

No
No, I don't wanna hear you tell me everything is wonderful now
No
No, I don't wanna hear you tell me everything is wonderful now

I don't wanna hear you say
That I will understand someday
No, no, no, no
I don't wanna hear you say
You both have grown in a different way
No, no, no, no

I don't wanna meet your friends
And I don't wanna start over again
I just want my life to be the same
Just like it used to be
Some days I hate everything
I hate everything
Everyone and everything
Please don't tell me everything is wonderful now

No, please don't tell me everything is wonderful now
Please don't tell me everything is wonderful now
I don't wanna hear you tell me everything is wonderful now
No, please don't tell me everything is wonderful now

Everything is wonderful now
Everything is wonderful now
Everything is wonderful now
..."
